roi	n_objects	has_region_mask	n_region_labels_at_centroids	region_labels_at_centroids	cell_labels
TCGA-A1-A0SP-DX1_left-9133_top-56574_bottom-57792_right-10351	29	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A04P-DX1_left-105289_top-49561_bottom-50787_right-106515	24	True	3	Cancerous_epithelium;Stroma;TILs_region	StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A04P-DX1_left-105805_top-48799_bottom-50026_right-107031	58	True	1	TILs_region	StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A04P-DX1_left-107338_top-50321_bottom-51548_right-108564	33	True	1	Cancerous_epithelium	CancerEpithelium
TCGA-A2-A04Q-DX1_left-20882_top-18603_bottom-19830_right-22109	45	True	2	Cancerous_epithelium;TILs_region	ActiveTILsCell;CancerEpithelium;OtherCell;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A04Q-DX1_left-20902_top-18093_bottom-19320_right-22129	31	True	2	Cancerous_epithelium;TILs_region	ActiveTILsCell;CancerEpithelium;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A04T-DX1_left-72924_top-41160_bottom-42387_right-74151	23	True	1	Cancerous_epithelium	CancerEpithelium;StromalCellNOS
TCGA-A2-A04T-DX1_left-73195_top-39354_bottom-40581_right-74421	15	True	1	Stroma	ActiveStromalCellNOS;ActiveTILsCell;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A04T-DX1_left-73196_top-39874_bottom-41101_right-74423	21	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A04T-DX1_left-73196_top-41158_bottom-42385_right-74423	13	True	2	Cancerous_epithelium;Other	CancerEpithelium;StromalCellNOS;TILsCell
TCGA-A2-A04T-DX1_left-74227_top-40889_bottom-42115_right-75454	29	True	3	Cancerous_epithelium;Stroma;TILs_region	ActiveTILsCell;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A04T-DX1_left-74989_top-40650_bottom-41877_right-76216	34	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A04T-DX1_left-75244_top-39618_bottom-40844_right-76471	25	True	1	Cancerous_epithelium	CancerEpithelium;UnknownOrAmbiguousCell
TCGA-A2-A04T-DX1_left-75757_top-40637_bottom-41864_right-76983	20	True	1	Cancerous_epithelium	CancerEpithelium;UnknownOrAmbiguousCell
TCGA-A2-A04T-DX1_left-76019_top-39631_bottom-40857_right-77246	23	True	1	Cancerous_epithelium	CancerEpithelium;TILsCell
TCGA-A2-A04T-DX1_left-76024_top-39337_bottom-40564_right-77251	21	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;StromalCellNOS;TILsCell
TCGA-A2-A04T-DX1_left-76268_top-40388_bottom-41614_right-77495	22	True	1	Cancerous_epithelium	CancerEpithelium
TCGA-A2-A04T-DX1_left-76779_top-41393_bottom-42619_right-78005	15	True	1	Cancerous_epithelium	CancerEpithelium;StromalCellNOS;TILsCell
TCGA-A2-A04T-DX1_left-77291_top-39113_bottom-40340_right-78518	23	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A04T-DX1_left-77794_top-39353_bottom-40580_right-79021	33	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A04T-DX1_left-77805_top-41400_bottom-42626_right-79032	20	True	1	Cancerous_epithelium	CancerEpithelium;StromalCellNOS
TCGA-A2-A0CM-DX1_left-19624_top-56888_bottom-58124_right-20861	26	True	1	Stroma	StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A0CM-DX1_left-20111_top-57141_bottom-58378_right-21347	21	True	3	Cancerous_epithelium;Stroma;Whitespace_Empty	CancerEpithelium;StromalCellNOS
TCGA-A2-A0CM-DX1_left-21404_top-57901_bottom-59137_right-22640	21	True	1	Cancerous_epithelium	CancerEpithelium;UnknownOrAmbiguousCell
TCGA-A2-A0CM-DX1_left-21641_top-58921_bottom-60158_right-22877	34	True	2	Cancerous_epithelium;Whitespace_Empty	CancerEpithelium;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A0D0-DX1_left-68517_top-42674_bottom-43911_right-69753	30	True	1	Stroma	StromalCellNOS;TILsCell
TCGA-A2-A0D0-DX1_left-68766_top-40634_bottom-41870_right-70003	62	True	2	Stroma;TILs_region	StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A0D0-DX1_left-71561_top-45494_bottom-46730_right-72798	34	True	1	Cancerous_epithelium	CancerEpithelium
TCGA-A2-A0D0-DX1_left-72344_top-42421_bottom-43657_right-73580	24	True	1	Stroma	ActiveStromalCellNOS;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A0D0-DX1_left-73108_top-43951_bottom-45187_right-74344	66	True	1	TILs_region	ActiveStromalCellNOS;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A0D0-DX1_left-74651_top-44203_bottom-45439_right-75887	26	True	1	Cancerous_epithelium	CancerEpithelium
TCGA-A2-A0D0-DX1_left-75158_top-44466_bottom-45702_right-76394	28	True	1	Cancerous_epithelium	CancerEpithelium
TCGA-A2-A0D2-DX1_left-97174_top-23865_bottom-25104_right-98413	14	True	3	Cancerous_epithelium;Junk_Debris;Stroma	CancerEpithelium;UnknownOrAmbiguousCell
TCGA-A2-A0D2-DX1_left-97183_top-22827_bottom-24066_right-98422	35	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;StromalCellNOS;UnknownOrAmbiguousCell
TCGA-A2-A0D2-DX1_left-97396_top-23087_bottom-24326_right-98634	21	True	3	Cancerous_epithelium;Junk_Debris;Stroma	CancerEpithelium;StromalCellNOS;UnknownOrAmbiguousCell
TCGA-A2-A0D2-DX1_left-97918_top-23844_bottom-25083_right-99157	21	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;StromalCellNOS;UnknownOrAmbiguousCell
TCGA-A2-A0D2-DX1_left-97946_top-22328_bottom-23566_right-99185	20	True	1	Cancerous_epithelium	CancerEpithelium;UnknownOrAmbiguousCell
TCGA-A2-A0D2-DX1_left-98187_top-22842_bottom-24080_right-99426	13	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;StromalCellNOS;UnknownOrAmbiguousCell
TCGA-A2-A0D2-DX1_left-98460_top-23865_bottom-25104_right-99699	23	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;UnknownOrAmbiguousCell
TCGA-A2-A0D2-DX1_left-98697_top-22568_bottom-23807_right-99936	23	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;StromalCellNOS
TCGA-A2-A0D2-DX1_left-98961_top-23338_bottom-24576_right-100200	30	True	1	Cancerous_epithelium	CancerEpithelium;UnknownOrAmbiguousCell
TCGA-A2-A0D2-DX1_left-99219_top-22334_bottom-23572_right-100457	18	True	2	Cancerous_epithelium;Stroma	ActiveStromalCellNOS;CancerEpithelium;StromalCellNOS;UnknownOrAmbiguousCell
TCGA-A2-A0D2-DX1_left-99474_top-22321_bottom-23560_right-100713	28	True	3	Cancerous_epithelium;Junk_Debris;Stroma	CancerEpithelium;UnknownOrAmbiguousCell
TCGA-A2-A0D2-DX1_left-99722_top-22842_bottom-24080_right-100961	21	False	0		CancerEpithelium;UnknownOrAmbiguousCell
TCGA-A2-A0ST-DX1_left-109461_top-20850_bottom-22089_right-110700	60	False	0		ActiveTILsCell;CancerEpithelium;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A2-A0ST-DX1_left-111729_top-20104_bottom-21343_right-112968	69	False	0		CancerEpithelium;TILsCell;UnknownOrAmbiguousCell
